Broad_class,HISTO_0,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5,HISTO_6,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_13,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_19,HISTO_20,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_25,HISTO_26,HISTO_27,HISTO_28,HISTO_29,HISTO_30,HISTO_31,HISTO_32,HISTO_33,HISTO_34,HISTO_35,HISTO_36,HISTO_37,HISTO_38,HISTO_39,HISTO_40,HISTO_41,HISTO_42,HISTO_43,HISTO_44,HISTO_45,HISTO_46,HISTO_47,HISTO_48,HISTO_49,HISTO_50,HISTO_51,HISTO_52,HISTO_53,HISTO_54,HISTO_55,HISTO_56,HISTO_57,HISTO_58,HISTO_59,HISTO_60,HISTO_61,HISTO_62,HISTO_63,HISTO_64,HISTO_65,HISTO_66,HISTO_67,HISTO_68,HISTO_69,HISTO_70,HISTO_71,HISTO_72,HISTO_73,HISTO_74,HISTO_75,HISTO_76,HISTO_77,HISTO_78,HISTO_79,HISTO_80,HISTO_81,HISTO_82,HISTO_83,HISTO_84,HISTO_85,HISTO_86,HISTO_87,HISTO_88,HISTO_89,HISTO_90,HISTO_91,HISTO_92,HISTO_93,HISTO_94,HISTO_95,HISTO_96,HISTO_97,HISTO_98,HISTO_99,HISTO_100,HISTO_101,HISTO_102,HISTO_103,HISTO_104,HISTO_105,HISTO_106,HISTO_107,HISTO_108,HISTO_109,HISTO_110,HISTO_111,HISTO_112
LEV,294992.0,15877.0,11884.0,9861.0,9133.0,8169.0,7667.0,7203.0,6600.0,6458.0,6230.0,5888.0,5601.0,5410.0,5262.0,5138.0,4939.0,4717.0,4485.0,4419.0,4456.0,4429.0,4270.0,4122.0,4026.0,4008.0,3940.0,3925.0,3882.0,3808.0,3726.0,3765.0,3665.0,3656.0,3676.0,3635.0,3805.0,3595.0,3773.0,3820.0,3814.0,3852.0,3797.0,3618.0,3577.0,3542.0,3507.0,3436.0,3298.0,3253.0,3188.0,3175.0,3199.0,3028.0,2898.0,2838.0,2774.0,2702.0,2593.0,2612.0,2520.0,2461.0,2459.0,2600.0,2586.0,2548.0,2438.0,2560.0,2495.0,2502.0,2309.0,2551.0,2638.0,2748.0,2649.0,2760.0,2693.0,2572.0,2628.0,2605.0,2549.0,2495.0,2550.0,2513.0,2460.0,2398.0,2432.0,2427.0,2407.0,2362.0,2771.0,3497.0,4008.0,4218.0,4514.0,4001.0,3527.0,2379.0,753.0,407.0,238.0,176.0,86.0,40.0,17.0,8.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
dry land,30976483.0,95348.0,64301.0,51006.0,43356.0,37419.0,33503.0,30569.0,27552.0,25340.0,23589.0,22070.0,20533.0,19406.0,18403.0,17299.0,16755.0,15816.0,15134.0,14417.0,13959.0,13409.0,12889.0,12421.0,12042.0,11794.0,11305.0,11193.0,10978.0,10609.0,10133.0,9709.0,9705.0,9544.0,9241.0,9018.0,9038.0,8537.0,8648.0,8440.0,8137.0,7966.0,7775.0,7949.0,7587.0,7618.0,7525.0,7575.0,7401.0,7288.0,7205.0,7208.0,7170.0,7052.0,6802.0,6588.0,6389.0,6325.0,6068.0,5794.0,5646.0,5648.0,5586.0,5399.0,5318.0,5427.0,5253.0,5331.0,5322.0,5187.0,5176.0,5233.0,5015.0,4983.0,5059.0,5193.0,5167.0,5140.0,5211.0,5074.0,5177.0,5391.0,5399.0,5508.0,5623.0,5837.0,6295.0,6996.0,7896.0,10287.0,15621.0,21095.0,22510.0,18378.0,18714.0,16183.0,11262.0,7756.0,3575.0,1957.0,1207.0,717.0,419.0,243.0,160.0,78.0,56.0,28.0,15.0,4.0,3.0,2.0,0.0
invalid,502512.0,2325.0,1703.0,1338.0,1220.0,1047.0,928.0,895.0,869.0,779.0,746.0,670.0,609.0,663.0,637.0,569.0,557.0,547.0,515.0,529.0,496.0,480.0,525.0,483.0,520.0,509.0,470.0,411.0,469.0,450.0,440.0,409.0,461.0,409.0,414.0,434.0,400.0,428.0,379.0,382.0,372.0,390.0,401.0,375.0,365.0,368.0,399.0,420.0,455.0,374.0,382.0,326.0,344.0,322.0,300.0,320.0,342.0,344.0,321.0,303.0,302.0,287.0,290.0,303.0,284.0,283.0,290.0,289.0,269.0,292.0,281.0,254.0,270.0,288.0,282.0,277.0,290.0,311.0,283.0,286.0,328.0,336.0,307.0,333.0,317.0,348.0,381.0,412.0,431.0,415.0,576.0,651.0,762.0,1369.0,2395.0,2614.0,2051.0,1661.0,1188.0,380.0,248.0,157.0,109.0,52.0,38.0,27.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
water,425674.0,28324.0,23244.0,21248.0,19155.0,18447.0,17379.0,16998.0,16711.0,16037.0,15817.0,15444.0,15093.0,15099.0,14764.0,14779.0,14541.0,14206.0,14252.0,14340.0,14075.0,14205.0,14120.0,14047.0,14100.0,14307.0,14225.0,14468.0,14084.0,14404.0,14361.0,14753.0,14925.0,15020.0,15457.0,16383.0,16479.0,17353.0,18292.0,18045.0,18103.0,18474.0,19465.0,20439.0,21816.0,23672.0,24340.0,25477.0,28349.0,30616.0,34319.0,33846.0,32998.0,31005.0,29358.0,27770.0,27309.0,26066.0,24503.0,23689.0,22917.0,22801.0,22491.0,22772.0,22197.0,22417.0,22719.0,22801.0,22870.0,23332.0,23243.0,23853.0,24532.0,24735.0,25371.0,26664.0,27297.0,27822.0,28241.0,29301.0,30988.0,32287.0,33904.0,36342.0,39146.0,43498.0,50487.0,67273.0,113247.0,221794.0,389756.0,589553.0,780534.0,911758.0,933804.0,920884.0,808574.0,694666.0,266800.0,27470.0,11930.0,6990.0,4070.0,2037.0,972.0,355.0,151.0,81.0,34.0,21.0,7.0,2.0,1.0
SUM,32199661.0,141874.0,101132.0,83453.0,72864.0,65082.0,59477.0,55665.0,51732.0,48614.0,46382.0,44072.0,41836.0,40578.0,39066.0,37785.0,36792.0,35286.0,34386.0,33705.0,32986.0,32523.0,31804.0,31073.0,30688.0,30618.0,29940.0,29997.0,29413.0,29271.0,28660.0,28636.0,28756.0,28629.0,28788.0,29470.0,29722.0,29913.0,31092.0,30687.0,30426.0,30682.0,31438.0,32381.0,33345.0,35200.0,35771.0,36908.0,39503.0,41531.0,45094.0,44555.0,43711.0,41407.0,39358.0,37516.0,36814.0,35437.0,33485.0,32398.0,31385.0,31197.0,30826.0,31074.0,30385.0,30675.0,30700.0,30981.0,30956.0,31313.0,31009.0,31891.0,32455.0,32754.0,33361.0,34894.0,35447.0,35845.0,36363.0,37266.0,39042.0,40509.0,42160.0,44696.0,47546.0,52081.0,59595.0,77108.0,123981.0,234858.0,408724.0,614796.0,807814.0,935723.0,959427.0,943682.0,825414.0,706462.0,272316.0,30214.0,13623.0,8040.0,4684.0,2372.0,1187.0,468.0,213.0,112.0,50.0,26.0,11.0,4.0,1.0
